,Ticker,Year,Unnamed: 0,index,Positive_Pred,Negative_Pred,Uncertainty_Pred,Litigious_Pred,Strong_Modal_Pred,Weak_Modal_Pred,Constraining_Pred,Weak Modal_Pred,Strong Modal_Pred
122,PTBA,2022,20568230,28436944,0.42424242424242425,0.1111111111111111,0.24242424242424243,0.0,0.0,0.0,0.2222222222222222,42.0,24.0
123,PTBA,2023,28438641,39345974,0.3711340206185567,0.19072164948453607,0.23195876288659795,0.002577319587628866,0.0,0.0,0.2036082474226804,61.0,38.0
124,SMGR,2019,21842450,30144204,0.5888888888888889,0.13333333333333333,0.11851851851851852,0.0,0.0,0.0,0.15925925925925927,36.0,18.0
125,SMGR,2020,17071713,23558564,0.43568464730290457,0.2572614107883817,0.16597510373443983,0.004149377593360996,0.0,0.0,0.13692946058091288,26.0,19.0
126,SMGR,2021,18715599,25839726,0.43973941368078173,0.14006514657980457,0.19218241042345277,0.006514657980456026,0.0,0.0,0.22149837133550487,35.0,35.0
127,SMGR,2022,18439506,25472774,0.49097472924187724,0.1624548736462094,0.18772563176895307,0.0,0.0,0.0,0.1588447653429603,43.0,24.0
128,SMGR,2023,13569295,18752983,0.5368421052631579,0.1368421052631579,0.14210526315789473,0.0,0.0,0.0,0.18421052631578946,26.0,17.0
129,TLKM,2019,47312343,65302263,0.5261261261261261,0.19099099099099098,0.16936936936936936,0.005405405405405406,0.0,0.0,0.10810810810810811,76.0,21.0
130,TLKM,2020,43766680,60394329,0.6023856858846919,0.12326043737574553,0.1610337972166998,0.0,0.0,0.0,0.11332007952286283,72.0,16.0
131,TLKM,2021,45045077,62157688,0.6739130434782609,0.10474308300395258,0.14624505928853754,0.0,0.0,0.0,0.07509881422924901,70.0,17.0
132,TLKM,2022,40546450,55950232,0.6849894291754757,0.1226215644820296,0.10993657505285412,0.010570824524312896,0.0,0.0,0.07188160676532769,50.0,26.0
133,TLKM,2023,43706250,60318720,0.7479838709677419,0.08064516129032258,0.12298387096774194,0.0,0.0,0.0,0.04838709677419355,56.0,23.0
134,UNTR,2019,35867535,49551402,0.5104166666666666,0.20208333333333334,0.2125,0.0,0.0,0.0,0.075,60.0,37.0
135,UNTR,2020,42072516,58115275,0.5107794361525705,0.1791044776119403,0.20066334991708126,0.001658374792703151,0.0,0.0,0.1077943615257048,84.0,31.0
136,UNTR,2021,45701540,63139813,0.49282296650717705,0.12440191387559808,0.24720893141945774,0.004784688995215311,0.0,0.0,0.13078149920255183,78.0,40.0
137,UNTR,2022,38376520,52984339,0.5404929577464789,0.14788732394366197,0.2147887323943662,0.0,0.0,0.0,0.09683098591549295,69.0,37.0
138,UNTR,2023,34135247,47102499,0.5289421157684631,0.17365269461077845,0.2055888223552894,0.0,0.0,0.0,0.09181636726546906,68.0,32.0
139,UNVR,2019,23659460,32655084,0.7310344827586207,0.07241379310344828,0.12758620689655173,0.0,0.0,0.0,0.06896551724137931,31.0,17.0
140,UNVR,2020,21187195,29246723,0.6175298804780877,0.14342629482071714,0.14342629482071714,0.0,0.0,0.0,0.09561752988047809,28.0,15.0
141,UNVR,2021,22456181,31000931,0.6232394366197183,0.1267605633802817,0.15492957746478872,0.0,0.0,0.0,0.09507042253521127,42.0,21.0
142,UNVR,2022,26902449,37150107,0.7398843930635838,0.08092485549132948,0.0953757225433526,0.0,0.0,0.0,0.0838150289017341,49.0,23.0
143,UNVR,2023,28171435,38919186,0.7555555555555555,0.07222222222222222,0.1111111111111111,0.0,0.0,0.0,0.06111111111111111,62.0,29.0
